chronic,chronic_condition,chronic_time,total_time_homeless_life,times_homeless_3yrs,times_homeless_past_year,current_stint_duration,current_stint_duration_detailed,data_table
0,0,0,,,,6-11 Months,240,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1825,unsheltered_2016
0,0,1,,2 to 3 Times,,6-11 Months,540,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
0,0,0,,2 to 3 Times,,6-11 Months,180,unsheltered_2016
0,1,0,,2 to 3 Times,,6-11 Months,240,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1095,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,365,unsheltered_2016
0,0,0,,,,Up to 1 Month,144,unsheltered_2016
0,0,0,,2 to 3 Times,,1-3 Months,90,unsheltered_2016
0,0,1,,4 or More Times,,12+ Months,2555,unsheltered_2016
1,1,1,,4 or More Times,,6-11 Months,210,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
0,0,0,,1 Time,,1-3 Months,90,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,2920,unsheltered_2016
0,0,1,,0 Times,,12+ Months,5475,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1000,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1275,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,1,0,,,,,0,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
1,1,1,,,,12+ Months,910,unsheltered_2016
0,1,0,,,,4-5 Months,120,unsheltered_2016
0,0,1,,,,12+ Months,14600,unsheltered_2016
0,1,0,,,,1-3 Months,90,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1825,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
1,1,1,,,,12+ Months,910,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,1,0,,,,4-5 Months,150,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
0,1,0,,,,4-5 Months,150,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,0,0,,1 Time,,,0,unsheltered_2016
0,0,1,,1 Time,,12+ Months,379,unsheltered_2016
0,0,1,,4 or More Times,,12+ Months,3650,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
0,1,0,,2 to 3 Times,,6-11 Months,180,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
0,0,1,,0 Times,,12+ Months,2920,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
1,1,1,,,,12+ Months,545,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,1 Time,,12+ Months,575,unsheltered_2016
0,0,1,,1 Time,,12+ Months,3100,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1460,unsheltered_2016
1,1,1,,1 Time,,12+ Months,730,unsheltered_2016
0,0,1,,0 Times,,12+ Months,425,unsheltered_2016
1,1,1,,1 Time,,12+ Months,12045,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1460,unsheltered_2016
0,0,1,,4 or More Times,,6-11 Months,240,unsheltered_2016
1,1,1,,1 Time,,12+ Months,365,unsheltered_2016
0,1,0,,1 Time,,1-3 Months,60,unsheltered_2016
1,1,1,,,,12+ Months,3650,unsheltered_2016
0,0,1,,,,12+ Months,12775,unsheltered_2016
0,1,0,,2 to 3 Times,,1-3 Months,30,unsheltered_2016
1,1,1,,1 Time,,12+ Months,4380,unsheltered_2016
0,1,0,,4 or More Times,,4-5 Months,170,unsheltered_2016
0,1,0,,2 to 3 Times,,Up to 1 Month,21,unsheltered_2016
1,1,1,,,,12+ Months,10220,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,2555,unsheltered_2016
0,0,1,,,,12+ Months,2920,unsheltered_2016
1,1,1,,,,12+ Months,2555,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1825,unsheltered_2016
0,1,0,,,,1-3 Months,90,unsheltered_2016
1,1,1,,,,12+ Months,1460,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
0,0,0,,,,6-11 Months,270,unsheltered_2016
0,1,0,,,,4-5 Months,120,unsheltered_2016
0,1,0,,1 Time,,1-3 Months,90,unsheltered_2016
0,0,1,,1 Time,,12+ Months,4380,unsheltered_2016
0,0,0,,,,6-11 Months,210,unsheltered_2016
1,1,1,,1 Time,,12+ Months,730,unsheltered_2016
0,0,0,,,,Up to 1 Month,21,unsheltered_2016
0,0,0,,,,1-3 Months,30,unsheltered_2016
0,0,0,,,,6-11 Months,210,unsheltered_2016
0,0,1,,,,12+ Months,7300,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,1460,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,1,0,,,,6-11 Months,240,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1460,unsheltered_2016
1,1,1,,1 Time,,12+ Months,365,unsheltered_2016
1,1,1,,1 Time,,12+ Months,5840,unsheltered_2016
0,1,0,,,,6-11 Months,210,unsheltered_2016
0,0,0,,,,4-5 Months,150,unsheltered_2016
0,0,1,,1 Time,,12+ Months,3650,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,1,0,,,,6-11 Months,330,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,0,,1 Time,,1-3 Months,60,unsheltered_2016
0,0,1,,4 or More Times,,12+ Months,1460,unsheltered_2016
0,0,0,,4 or More Times,,6-11 Months,270,unsheltered_2016
0,0,1,,1 Time,,12+ Months,365,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2005,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2920,unsheltered_2016
0,0,1,,,,12+ Months,7300,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,1,0,,,,6-11 Months,210,unsheltered_2016
1,1,1,,4 or More Times,,Up to 1 Month,3,unsheltered_2016
0,1,0,,4 or More Times,,4-5 Months,150,unsheltered_2016
0,1,0,,,,1-3 Months,90,unsheltered_2016
0,1,0,,2 to 3 Times,,1-3 Months,60,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,270,unsheltered_2016
1,1,1,,1 Time,,12+ Months,545,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,1,0,,1 Time,,1-3 Months,44,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,3650,unsheltered_2016
0,1,0,,,,1-3 Months,30,unsheltered_2016
1,1,1,,1 Time,,12+ Months,3650,unsheltered_2016
1,1,1,,,,12+ Months,2615,unsheltered_2016
0,0,1,,,,12+ Months,1460,unsheltered_2016
0,0,1,,,,,7300,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,0,0,,2 to 3 Times,,6-11 Months,240,unsheltered_2016
0,0,1,,4 or More Times,,6-11 Months,330,unsheltered_2016
0,0,0,,2 to 3 Times,,1-3 Months,60,unsheltered_2016
0,0,0,,2 to 3 Times,,6-11 Months,180,unsheltered_2016
0,0,1,,,,12+ Months,6205,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,240,unsheltered_2016
0,0,0,,2 to 3 Times,,4-5 Months,120,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,2555,unsheltered_2016
0,0,1,,,,12+ Months,395,unsheltered_2016
1,1,1,,,,12+ Months,2555,unsheltered_2016
0,0,0,,2 to 3 Times,,1-3 Months,30,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,1095,unsheltered_2016
0,0,1,,,,12+ Months,1460,unsheltered_2016
0,0,1,,1 Time,,12+ Months,9125,unsheltered_2016
0,0,1,,,,12+ Months,2555,unsheltered_2016
0,1,0,,,,6-11 Months,270,unsheltered_2016
1,1,1,,,,12+ Months,1460,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,0,0,,,,6-11 Months,240,unsheltered_2016
0,0,1,,1 Time,,12+ Months,7665,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
0,1,0,,1 Time,,1-3 Months,90,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,1 Time,,12+ Months,730,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,425,unsheltered_2016
1,1,1,,,,12+ Months,455,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
0,1,0,,,,4-5 Months,150,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,0,1,,,,12+ Months,1825,unsheltered_2016
1,1,1,,1 Time,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,5475,unsheltered_2016
0,0,0,,,,6-11 Months,300,unsheltered_2016
0,0,0,,,,Up to 1 Month,7,unsheltered_2016
0,0,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,,,12+ Months,1825,unsheltered_2016
0,0,1,,,,12+ Months,1825,unsheltered_2016
0,0,0,,0 Times,,6-11 Months,180,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,240,unsheltered_2016
1,1,1,,,,12+ Months,4380,unsheltered_2016
0,1,0,,,,1-3 Months,90,unsheltered_2016
0,0,0,,,,6-11 Months,261,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
1,1,1,,,,12+ Months,4380,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1460,unsheltered_2016
0,1,0,,1 Time,,1-3 Months,30,unsheltered_2016
0,0,0,,1 Time,,1-3 Months,90,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2370,unsheltered_2016
1,1,1,,1 Time,,12+ Months,4380,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
1,1,1,,,,12+ Months,2190,unsheltered_2016
0,0,1,,,,12+ Months,8030,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,254,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,19345,unsheltered_2016
0,0,1,,0 Times,,12+ Months,2920,unsheltered_2016
0,1,0,,,,,0,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
0,0,1,,,,12+ Months,750,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,287,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
0,0,0,,,,,0,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,635,unsheltered_2016
1,1,1,,1 Time,,12+ Months,730,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1460,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,1825,unsheltered_2016
0,1,0,,,,Up to 1 Month,35,unsheltered_2016
1,1,1,,,,12+ Months,2190,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,0,0,,,,4-5 Months,171,unsheltered_2016
0,0,0,,2 to 3 Times,,1-3 Months,60,unsheltered_2016
0,1,0,,2 to 3 Times,,6-11 Months,240,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,0,0,,,,Up to 1 Month,14,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,1,0,,,,4-5 Months,120,unsheltered_2016
0,0,0,,,,6-11 Months,300,unsheltered_2016
0,0,0,,,,Up to 1 Month,14,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
0,0,1,,1 Time,,12+ Months,730,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,0,1,,1 Time,,12+ Months,9125,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,1,0,,,,4-5 Months,150,unsheltered_2016
1,1,1,,,,12+ Months,455,unsheltered_2016
0,0,1,,1 Time,,12+ Months,5475,unsheltered_2016
0,0,0,,,,1-3 Months,30,unsheltered_2016
1,1,1,,,,12+ Months,3650,unsheltered_2016
0,0,0,,2 to 3 Times,,6-11 Months,210,unsheltered_2016
0,0,1,,1 Time,,12+ Months,2555,unsheltered_2016
0,0,1,,,,12+ Months,4015,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1095,unsheltered_2016
0,1,0,,0 Times,,6-11 Months,180,unsheltered_2016
0,0,0,,,,1-3 Months,60,unsheltered_2016
0,0,1,,1 Time,,12+ Months,365,unsheltered_2016
0,0,1,,4 or More Times,,6-11 Months,240,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,1,0,,2 to 3 Times,,4-5 Months,150,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
0,0,1,,1 Time,,12+ Months,730,unsheltered_2016
1,1,1,,0 Times,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,,,12+ Months,1825,unsheltered_2016
1,1,1,,1 Time,,12+ Months,5475,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,730,unsheltered_2016
0,0,0,,,,4-5 Months,150,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2555,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1095,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,240,unsheltered_2016
1,1,1,,0 Times,,12+ Months,365,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,,,12+ Months,5110,unsheltered_2016
1,1,1,,,,12+ Months,4380,unsheltered_2016
1,1,1,,,,12+ Months,2555,unsheltered_2016
1,1,1,,,,12+ Months,4015,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,1825,unsheltered_2016
0,0,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,1 Time,,12+ Months,730,unsheltered_2016
0,0,0,,,,6-11 Months,330,unsheltered_2016
1,1,1,,1 Time,,12+ Months,730,unsheltered_2016
0,1,0,,,,Up to 1 Month,4,unsheltered_2016
1,1,1,,1 Time,,12+ Months,730,unsheltered_2016
0,0,1,,4 or More Times,,12+ Months,1825,unsheltered_2016
0,0,1,,,,12+ Months,3650,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
1,1,1,,,,12+ Months,545,unsheltered_2016
1,1,1,,,,12+ Months,5475,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,2 to 3 Times,,,9125,unsheltered_2016
0,1,0,,,,6-11 Months,330,unsheltered_2016
0,1,0,,,,6-11 Months,330,unsheltered_2016
0,1,0,,,,1-3 Months,60,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
1,1,1,,,,12+ Months,2555,unsheltered_2016
0,1,0,,,,4-5 Months,150,unsheltered_2016
0,0,1,,,,12+ Months,6205,unsheltered_2016
0,0,1,,,,12+ Months,910,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1825,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1460,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,0,1,,,,12+ Months,5110,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1460,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,1095,unsheltered_2016
0,0,1,,4 or More Times,,12+ Months,1825,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,1460,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1460,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,1460,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,1095,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,1825,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,,,12+ Months,5475,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,2190,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,1,,1 Time,,12+ Months,545,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,,,12+ Months,6935,unsheltered_2016
0,1,0,,,,,0,unsheltered_2016
0,0,0,,,,Up to 1 Month,7,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,0,0,,,,6-11 Months,240,unsheltered_2016
0,0,1,,,,12+ Months,3650,unsheltered_2016
1,1,1,,1 Time,,12+ Months,11680,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,455,unsheltered_2016
0,0,1,,0 Times,,12+ Months,12410,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1825,unsheltered_2016
1,1,1,,,,12+ Months,1460,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,300,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,910,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,0,0,,,,1-3 Months,90,unsheltered_2016
1,1,1,,,,12+ Months,1460,unsheltered_2016
0,0,1,,,,12+ Months,1460,unsheltered_2016
0,0,1,,0 Times,,12+ Months,3650,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,1 Time,,12+ Months,2555,unsheltered_2016
0,0,1,,1 Time,,12+ Months,5475,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,485,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,1 Time,,12+ Months,730,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1825,unsheltered_2016
0,0,1,,4 or More Times,,1-3 Months,90,unsheltered_2016
0,0,0,,1 Time,,1-3 Months,90,unsheltered_2016
0,0,1,,,,12+ Months,2555,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
0,0,1,,0 Times,,12+ Months,7300,unsheltered_2016
0,0,0,,,,Up to 1 Month,14,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,1825,unsheltered_2016
0,0,1,,1 Time,,12+ Months,8395,unsheltered_2016
1,1,1,,0 Times,,12+ Months,365,unsheltered_2016
1,1,1,,,,6-11 Months,600,unsheltered_2016
0,0,0,,1 Time,,4-5 Months,120,unsheltered_2016
0,0,0,,,,6-11 Months,300,unsheltered_2016
0,1,0,,2 to 3 Times,,4-5 Months,150,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,270,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,7300,unsheltered_2016
1,1,1,,,,12+ Months,8760,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
0,0,1,,1 Time,,6-11 Months,900,unsheltered_2016
1,1,1,,0 Times,,12+ Months,730,unsheltered_2016
1,1,1,,4 or More Times,,Up to 1 Month,14,unsheltered_2016
1,1,1,,,,12+ Months,455,unsheltered_2016
1,1,1,,1 Time,,12+ Months,2920,unsheltered_2016
0,0,1,,,,12+ Months,1825,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
0,1,0,,,,1-3 Months,30,unsheltered_2016
0,0,0,,,,6-11 Months,240,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,,,12+ Months,3285,unsheltered_2016
0,0,0,,,,4-5 Months,120,unsheltered_2016
0,0,0,,,,1-3 Months,60,unsheltered_2016
0,0,1,,,,12+ Months,7300,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,180,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,665,unsheltered_2016
1,1,1,,,,12+ Months,1460,unsheltered_2016
0,1,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,0 Times,,12+ Months,1825,unsheltered_2016
0,0,0,,2 to 3 Times,,Up to 1 Month,21,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,284,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1825,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,0 Times,,12+ Months,880,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1095,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1095,unsheltered_2016
1,1,1,,0 Times,,12+ Months,4745,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,2190,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2920,unsheltered_2016
1,1,1,,0 Times,,12+ Months,2920,unsheltered_2016
0,0,1,,,,12+ Months,8395,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,0 Times,,12+ Months,3650,unsheltered_2016
0,1,0,,,,6-11 Months,240,unsheltered_2016
0,0,1,,,,12+ Months,730,unsheltered_2016
0,1,0,,0 Times,,1-3 Months,60,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,1825,unsheltered_2016
0,1,0,,,,1-3 Months,60,unsheltered_2016
1,1,1,,0 Times,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,0 Times,,12+ Months,730,unsheltered_2016
0,0,1,,1 Time,,12+ Months,365,unsheltered_2016
0,0,0,,1 Time,,6-11 Months,210,unsheltered_2016
1,1,1,,1 Time,,12+ Months,365,unsheltered_2016
1,1,1,,0 Times,,12+ Months,3650,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
0,1,0,,0 Times,,Up to 1 Month,350,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,1095,unsheltered_2016
1,1,1,,1 Time,,6-11 Months,450,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
1,1,1,,,,12+ Months,545,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
0,1,0,,,,6-11 Months,240,unsheltered_2016
0,0,1,,,,12+ Months,1095,unsheltered_2016
1,1,1,,0 Times,,12+ Months,9125,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
1,1,1,,0 Times,,12+ Months,4380,unsheltered_2016
0,0,0,,,,1-3 Months,30,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
0,0,1,,,,12+ Months,9855,unsheltered_2016
1,1,1,,,,12+ Months,13140,unsheltered_2016
0,1,0,,2 to 3 Times,,4-5 Months,120,unsheltered_2016
1,1,1,,,,12+ Months,5110,unsheltered_2016
0,0,1,,0 Times,,12+ Months,5475,unsheltered_2016
1,1,1,,1 Time,,12+ Months,4745,unsheltered_2016
0,0,1,,,,12+ Months,9490,unsheltered_2016
0,0,1,,,,12+ Months,3650,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,,,12+ Months,665,unsheltered_2016
0,1,0,,,,6-11 Months,240,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,730,unsheltered_2016
0,0,1,,1 Time,,12+ Months,365,unsheltered_2016
0,1,0,,2 to 3 Times,,1-3 Months,90,unsheltered_2016
0,0,1,,4 or More Times,,,0,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,2920,unsheltered_2016
0,0,0,,,,1-3 Months,60,unsheltered_2016
0,0,0,,,,6-11 Months,210,unsheltered_2016
0,0,0,,,,6-11 Months,210,unsheltered_2016
0,1,0,,,,1-3 Months,60,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
0,1,0,,0 Times,,6-11 Months,240,unsheltered_2016
1,1,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1825,unsheltered_2016
1,1,1,,0 Times,,12+ Months,1095,unsheltered_2016
0,0,0,,,,1-3 Months,30,unsheltered_2016
0,0,1,,,,12+ Months,365,unsheltered_2016
0,0,1,,0 Times,,12+ Months,3285,unsheltered_2016
1,1,1,,0 Times,,12+ Months,5475,unsheltered_2016
0,0,1,,1 Time,,12+ Months,1095,unsheltered_2016
1,1,1,,4 or More Times,,Up to 1 Month,90,unsheltered_2016
0,1,0,,1 Time,,1-3 Months,60,unsheltered_2016
0,1,0,,0 Times,,6-11 Months,180,unsheltered_2016
0,1,0,,1 Time,,6-11 Months,240,unsheltered_2016
0,0,1,,4 or More Times,,12+ Months,1825,unsheltered_2016
1,1,1,,,,12+ Months,545,unsheltered_2016
0,0,1,,1 Time,,12+ Months,730,unsheltered_2016
1,1,1,,,,12+ Months,730,unsheltered_2016
0,0,0,,,,6-11 Months,180,unsheltered_2016
0,0,1,,2 to 3 Times,,12+ Months,365,unsheltered_2016
1,1,1,,,,12+ Months,1825,unsheltered_2016
1,1,1,,1 Time,,12+ Months,3650,unsheltered_2016
1,1,1,,1 Time,,12+ Months,1640,unsheltered_2016
1,1,1,,0 Times,,12+ Months,7665,unsheltered_2016
1,1,1,,0 Times,,12+ Months,730,unsheltered_2016
1,1,1,,0 Times,,12+ Months,4380,unsheltered_2016
1,1,1,,,,12+ Months,1095,unsheltered_2016
0,0,1,,0 Times,,12+ Months,2190,unsheltered_2016
0,0,1,,,,12+ Months,1460,unsheltered_2016
1,1,1,,,,12+ Months,365,unsheltered_2016
1,1,1,,4 or More Times,,12+ Months,730,unsheltered_2016
0,0,0,,,,4-5 Months,150,unsheltered_2016
1,1,1,,1 Time,,12+ Months,2190,unsheltered_2016
0,0,1,,,,12+ Months,5475,unsheltered_2016
0,0,0,,1 Time,,,0,unsheltered_2016
